Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,Alex,Yangon,Member,Female,Health and beauty,74.69,7.0,26.1415,548.9715,1/5/2019,1:08:00 PM,Ewallet,522.83,4.761904762,26.1415,9.1
226-31-3081,Giza,Naypyitaw,Normal,Female,Electronic accessories,15.28,5.0,3.82,80.22,3/8/2019,10:29:00 AM,Cash,76.4,4.761904762,3.82,9.6
631-41-3108,Alex,Yangon,Normal,Female,Home and lifestyle,46.33,7.0,16.2155,340.5255,3/3/2019,1:23:00 PM,Credit card,324.31,4.761904762,16.2155,7.4
123-19-1176,Alex,Yangon,Member,Female,Health and beauty,58.22,8.0,23.288,489.048,1/27/2019,8:33:00 PM,Ewallet,465.76,4.761904762,23.288,8.4
373-73-7910,Alex,Yangon,Member,Female,Sports and travel,86.31,7.0,30.2085,634.3785,2/8/2019,10:37:00 AM,Ewallet,604.17,4.761904762,30.2085,5.3
699-14-3026,Giza,Naypyitaw,Member,Female,Electronic accessories,85.39,7.0,29.8865,627.6165,3/25/2019,6:30:00 PM,Ewallet,597.73,4.761904762,29.8865,4.1
355-53-5943,Alex,Yangon,Member,Female,Electronic accessories,68.84,6.0,20.652,433.692,2/25/2019,2:36:00 PM,Ewallet,413.04,4.761904762,20.652,5.8
315-22-5665,Giza,Naypyitaw,Member,Female,Home and lifestyle,73.56,10.0,36.78,772.38,2/24/2019,11:38:00 AM,Ewallet,735.6,4.761904762,36.78,8.0
665-32-9167,Alex,Yangon,Member,Female,Health and beauty,36.26,2.0,3.626,76.146,1/10/2019,5:15:00 PM,Credit card,72.52,4.761904762,3.626,7.2
692-92-5582,Cairo,Mandalay,Member,Female,Food and beverages,54.84,3.0,8.226,172.746,2/20/2019,1:27:00 PM,Credit card,164.52,4.761904762,8.226,5.9
351-62-0822,Cairo,Mandalay,Member,Female,Fashion accessories,14.48,4.0,2.896,60.816,2/6/2019,6:07:00 PM,Ewallet,57.92,4.761904762,2.896,4.5
529-56-3974,Cairo,Mandalay,Member,Female,Electronic accessories,25.51,4.0,5.102,107.142,3/9/2019,5:03:00 PM,Cash,102.04,4.761904762,5.102,6.8
365-64-0515,Alex,Yangon,Member,Female,Electronic accessories,46.95,5.0,11.7375,246.4875,2/12/2019,10:25:00 AM,Ewallet,234.75,4.761904762,11.7375,7.1
252-56-2699,Alex,Yangon,Member,Female,Food and beverages,43.19,10.0,21.595,453.495,2/7/2019,4:48:00 PM,Ewallet,431.9,4.761904762,21.595,8.2
829-34-3910,Alex,Yangon,Member,Female,Health and beauty,71.38,10.0,35.69,749.49,3/29/2019,7:21:00 PM,Cash,713.8,4.761904762,35.69,5.7
299-46-1805,Cairo,Mandalay,Member,Female,Sports and travel,93.72,6.0,28.116,590.436,1/15/2019,4:19:00 PM,Cash,562.32,4.761904762,28.116,4.5
656-95-9349,Alex,Yangon,Member,Female,Health and beauty,68.93,7.0,24.1255,506.6355,3/11/2019,11:03:00 AM,Credit card,482.51,4.761904762,24.1255,4.6
765-26-6951,Alex,Yangon,Member,Female,Sports and travel,72.61,6.0,21.783,457.443,1/1/2019,10:39:00 AM,Credit card,435.66,4.761904762,21.783,6.9
329-62-1586,Alex,Yangon,Member,Female,Food and beverages,54.67,3.0,8.2005,172.2105,1/21/2019,6:00:00 PM,Credit card,164.01,4.761904762,8.2005,8.6
319-50-3348,Cairo,Mandalay,Member,Female,Home and lifestyle,40.3,2.0,4.03,84.63,3/11/2019,3:30:00 PM,Ewallet,80.6,4.761904762,4.03,4.4
300-71-4605,Giza,Naypyitaw,Member,Female,Electronic accessories,86.04,5.0,21.51,451.71,2/25/2019,11:24:00 AM,Ewallet,430.2,4.761904762,21.51,4.8
371-85-5789,Cairo,Mandalay,Member,Female,Health and beauty,87.98,3.0,13.197,277.137,3/5/2019,10:40:00 AM,Ewallet,263.94,4.761904762,13.197,5.1
273-16-6619,Cairo,Mandalay,Member,Female,Home and lifestyle,33.2,2.0,3.32,69.72,3/15/2019,12:20:00 PM,Credit card,66.4,4.761904762,3.32,4.4
636-48-8204,Alex,Yangon,Member,Female,Electronic accessories,34.56,5.0,8.64,181.44,2/17/2019,11:15:00 AM,Ewallet,172.8,4.761904762,8.64,9.9
549-59-1358,Alex,Yangon,Member,Female,Sports and travel,88.63,3.0,13.2945,279.1845,3/2/2019,5:36:00 PM,Ewallet,265.89,4.761904762,13.2945,6.0
227-03-5010,Alex,Yangon,Member,Female,Home and lifestyle,52.59,8.0,21.036,441.756,3/22/2019,7:20:00 PM,Credit card,420.72,4.761904762,21.036,8.5
649-29-6775,Cairo,Mandalay,Member,Female,Fashion accessories,33.52,1.0,1.676,35.196,2/8/2019,3:31:00 PM,Cash,33.52,4.761904762,1.676,6.7
189-17-4241,Alex,Yangon,Member,Female,Fashion accessories,87.67,2.0,8.767,184.107,3/10/2019,12:17:00 PM,Credit card,175.34,4.761904762,8.767,7.7
145-94-9061,Cairo,Mandalay,Member,Female,Food and beverages,88.36,5.0,22.09,463.89,1/25/2019,7:48:00 PM,Cash,441.8,4.761904762,22.09,9.6
848-62-7243,Alex,Yangon,Member,Female,Health and beauty,24.89,9.0,11.2005,235.2105,3/15/2019,3:36:00 PM,Cash,224.01,4.761904762,11.2005,7.4
871-79-8483,Cairo,Mandalay,Member,Female,Fashion accessories,94.13,5.0,23.5325,494.1825,2/25/2019,7:39:00 PM,Credit card,470.65,4.761904762,23.5325,4.8
149-71-6266,Cairo,Mandalay,Member,Female,Sports and travel,78.07,9.0,35.1315,737.7615,1/28/2019,12:43:00 PM,Cash,702.63,4.761904762,35.1315,4.5
640-49-2076,Cairo,Mandalay,Member,Female,Sports and travel,83.78,8.0,33.512,703.752,1/10/2019,2:49:00 PM,Cash,670.24,4.761904762,33.512,5.1
595-11-5460,Alex,Yangon,Member,Female,Health and beauty,96.58,2.0,9.658,202.818,3/15/2019,10:12:00 AM,Credit card,193.16,4.761904762,9.658,5.1
183-56-6882,Giza,Naypyitaw,Member,Female,Food and beverages,99.42,4.0,19.884,417.564,2/6/2019,10:42:00 AM,Ewallet,397.68,4.761904762,19.884,7.5
232-16-2483,Giza,Naypyitaw,Member,Female,Sports and travel,68.12,1.0,3.406,71.526,1/7/2019,12:28:00 PM,Ewallet,68.12,4.761904762,3.406,6.8
